Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,10,2016,TARAVAL,-122.4734435,37.73300481,"(37.7330048109894, -122.473443474087)"
ASSAULT,1,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,1,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,8,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,5,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,1,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,1,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,9,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,6,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,6,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,8,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,8,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,9,2016,INGLESIDE,-122.4165174,37.73301039,"(37.7330103867416, -122.416517427405)"
ASSAULT,12,2016,INGLESIDE,-122.4343639,37.73304489,"(37.7330448919252, -122.434363909417)"
ASSAULT,4,2016,BAYVIEW,-122.3875278,37.73305497,"(37.7330549651025, -122.387527753438)"
ASSAULT,2,2016,BAYVIEW,-122.3875278,37.73305497,"(37.7330549651025, -122.387527753438)"
ASSAULT,2,2016,BAYVIEW,-122.3875278,37.73305497,"(37.7330549651025, -122.387527753438)"
ASSAULT,9,2016,BAYVIEW,-122.3875278,37.73305497,"(37.7330549651025, -122.387527753438)"
ASSAULT,10,2016,BAYVIEW,-122.3850015,37.73307082,"(37.7330708173682, -122.385001533619)"
ASSAULT,12,2016,BAYVIEW,-122.3850015,37.73307082,"(37.7330708173682, -122.385001533619)"
ASSAULT,4,2016,BAYVIEW,-122.3776525,37.73307178,"(37.7330717840657, -122.377652484305)"
ASSAULT,12,2016,BAYVIEW,-122.3927758,37.73307817,"(37.7330781710011, -122.392775772337)"
ASSAULT,6,2016,BAYVIEW,-122.3927758,37.73307817,"(37.7330781710011, -122.392775772337)"
ASSAULT,7,2016,BAYVIEW,-122.3860476,37.73310526,"(37.7331052560338, -122.386047595272)"
ASSAULT,3,2016,BAYVIEW,-122.3809904,37.7331435,"(37.7331435009212, -122.380990356551)"
ASSAULT,4,2016,BAYVIEW,-122.3809904,37.7331435,"(37.7331435009212, -122.380990356551)"
ASSAULT,6,2016,BAYVIEW,-122.3809904,37.7331435,"(37.7331435009212, -122.380990356551)"
ASSAULT,1,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,3,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,7,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,7,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,8,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,8,2016,INGLESIDE,-122.4251267,37.73318974,"(37.7331897408729, -122.425126741166)"
ASSAULT,7,2016,BAYVIEW,-122.4061229,37.73320239,"(37.7332023944027, -122.406122865303)"
ASSAULT,5,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,1,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,1,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,6,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,7,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
ASSAULT,9,2016,BAYVIEW,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)"
